xx,"anio2015","anio2016"
Afganistan,584.0259021,561.7787463
Angola,3695.793748,3110.808183
Albania,3954.022783,4146.89625
Argentina,13467.10236,12449.21685
Armenia,3609.654776,3606.152057
Australia,56554.03876,49927.81951
Austria,43665.00947,44176.51522
Belgica,40356.875,41096.1573
Bulgaria,6993.47736,7350.795801
Bolivia,3077.026199,3104.956089
Brasil,8757.206202,8649.948492
Canada,43315.70044,42157.92799
Suiza,80989.84024,78812.65069
Chile,13653.2264,13792.92605
China,8069.211938,8123.180873
Camerun,1244.429421,1032.648722
Colombia,6044.525556,5805.605335
Chipre,23075.1127,23324.20174
